age,income,savings,expenses,debt
24,18000,80000,20384,93090
30,30,5000,42440,727741
24,35,80000,11831,437790
25,18000,1000,52250,683867
22,0,5000,75189,389803
70,0,50000,20835,385761
23,18000,20000,89304,125312
35,30,50000,9930,536151
23,75,5000,45650,233994
22,0,20000,53969,390882
22,90,5000,61127,472588
21,0,1000000,99872,235763
22,75,5000,82060,5536
20,0,50000,23669,484134
21,0,100000,8387,686911
21,0,80000,89942,627193
33,100,20000,27819,140299
44,0,20000,77371,483572
25,30,5000,43583,973315
70,100,100000,44744,9829
70,0,5000,22467,308622
35,100,1000000,15518,413646
20,0,100000,47200,651647
23,100,50000,25029,222455
21,200,5000,65016,348268
60,0,50000,84069,672759
20,0,1000000,13707,89926
70,100,1000000,85692,391141
20,0,50000,67698,391212
30,75,1000000,42553,400189
60,0,50000,72697,444024
20,30,5000,62199,774553
40,0,50000,81910,706101
44,0,1000,29513,590933
44,200,5000,53188,438842
70,90,20000,76659,463905
44,0,5000,21138,582932
30,35,50000,52453,838251
35,10000,1000000,89062,800506
20,10000,50000,15984,520056
25,75,50000,41739,578734
60,18000,50000,56772,276480
60,0,100000,85899,186705
22,200,1000,37323,693361
40,0,80000,67469,786046
30,18000,5000,12509,701235
22,200,50000,34639,595148
40,0,80000,64030,396482
60,100,20000,83090,535209
25,0,20000,49847,229864
44,100,100000,33898,177195
55,18000,20000,12307,975022
21,20000,20000,2575,347024
21,0,1000000,62816,674311
23,100,1000,81878,152202
44,0,1000000,92093,839776
33,100,50000,84003,416110
25,75,20000,59613,67723
55,0,80000,60994,845119
70,0,50000,99099,121669
70,10000,1000,2776,415319
44,75,5000,91250,743890
20,0,50000,73598,212603
33,35,50000,61897,348584
30,0,20000,37995,524437
21,20000,20000,23050,930863
60,0,1000,29178,561281
24,35,80000,78933,834770
60,200,100000,82485,518719
70,35,80000,34358,576202
40,90,100000,73808,409202
30,100,20000,34459,648575
25,0,80000,11316,289073
40,35,5000,82364,456845
33,0,1000000,21840,585331
20,0,80000,85707,93939
21,30,20000,23434,114568
20,30,1000000,42564,274153
23,100,1000,90655,428747
55,35,1000000,48999,302230
25,75,1000000,58812,798638
25,0,100000,91965,264045
20,0,80000,77197,990290
23,0,1000,45719,839281
30,100,80000,44162,712594
44,0,1000,3231,494584
22,90,80000,70066,630497
33,75,1000,30415,801449
30,10000,5000,70667,166755
35,200,1000000,78669,540725
70,75,1000,24168,607799
55,0,80000,49213,784066
60,20000,100000,74683,301168
20,35,1000,39191,562588
40,0,20000,91866,982246
35,90,20000,29073,349296
30,0,100000,1972,258626
33,30,1000000,72356,84551
30,90,1000000,48333,579325
55,0,5000,23349,607666
20,0,1000000,61975,463445
20,10000,5000,99476,174352
40,100,20000,48440,402974
44,30,1000000,27533,420117
33,75,50000,73085,428627
20,0,1000,58836,718423
24,75,80000,25072,160978
20,18000,1000,97450,706885
35,0,20000,6849,545021
44,0,1000,97306,737607
40,0,50000,72234,172250
33,35,50000,15663,933526
23,0,80000,68217,285116
55,10000,1000000,38809,346855
60,0,5000,56050,480255
70,10000,100000,85914,50793
70,0,1000,33189,710926
21,30,50000,77924,562075
33,0,1000,72270,567101
24,0,20000,35969,328153
35,90,1000000,85113,935357
21,75,5000,53897,42192
33,0,100000,82387,251548
55,100,1000000,53594,41281
25,20000,50000,12461,887893
24,200,1000000,60143,5102
25,0,20000,88852,510955
44,200,1000,32080,524384
24,100,100000,60799,117889
24,10000,100000,91580,879457
30,0,80000,38127,152409
20,0,1000000,75345,185828
22,0,50000,68301,874536
25,75,80000,82069,874995
40,30,80000,41097,738073
44,18000,5000,15692,100974
55,0,1000000,9365,805103
30,0,1000,6217,474692
40,75,1000,58839,656238
30,0,5000,69137,63914
44,100,1000,15139,82710
70,0,1000000,77122,380217
33,0,80000,74995,434602
35,0,1000,51876,611805
44,200,5000,91956,684107
25,0,50000,97743,15300
24,18000,100000,4692,82935
30,30,50000,61590,193962
21,0,20000,58300,705005
21,0,1000,71609,739803
25,90,20000,14982,314847
33,30,100000,7037,752144
40,30,5000,5536,441216
40,30,50000,28489,527207
44,30,100000,18621,466545
70,0,1000000,54084,50822
24,100,1000,67773,311162
70,0,100000,94465,460600
33,90,100000,33139,522197
70,10000,100000,13591,803530
24,0,80000,88564,276262
44,75,20000,61772,313108
33,75,50000,70134,247253
40,75,80000,10789,566543
30,30,80000,90941,715787
60,0,80000,1129,530271
33,90,1000000,57541,79823
25,20000,5000,66248,446231
30,200,100000,38409,291327
25,90,80000,69752,18429
44,75,20000,68084,592331
33,10000,80000,63194,33368
55,35,5000,8136,273490
60,0,80000,55434,744808
22,0,1000000,80135,779779
60,0,50000,56076,653762
33,0,5000,97696,200242
30,10000,20000,19392,735376
21,100,50000,24901,816729
24,90,80000,72687,766734
24,18000,1000000,43470,338072
30,0,100000,7440,82855
44,0,80000,17087,143411
23,0,100000,38162,362751
35,18000,80000,26747,70240
60,35,1000000,33939,398793
25,200,20000,63409,972976
22,20000,50000,90603,908364
55,10000,20000,74252,217569
20,0,5000,98106,408057
22,35,5000,50172,834489
20,0,20000,30228,898348
22,30,80000,57302,734548
70,10000,1000,95195,209813
70,0,5000,23186,594430
21,0,5000,52792,859687
21,200,20000,91214,974208
40,0,50000,75349,453223
20,200,20000,69324,793789
40,0,80000,75629,845081
23,10000,80000,68025,684546
24,0,100000,87475,608026
40,0,5000,39020,151526
30,75,80000,72477,734393
70,100,100000,63069,952846
24,0,80000,74816,778337
25,18000,5000,93875,318501
35,10000,100000,39985,926414
35,20000,100000,91641,477758
33,0,80000,98949,246506
30,0,1000,65753,472188
40,0,100000,92533,779523
20,0,50000,29255,88385
30,20000,1000,85806,255678
22,0,80000,46436,919724
40,0,1000000,19842,222913
25,0,20000,17004,762847
23,200,5000,6992,296605
40,0,1000000,71002,475142
22,0,1000,96470,398096
70,100,1000000,34693,623413
22,75,80000,25585,622267
33,0,5000,73925,767653
23,30,20000,27460,340680
24,200,1000,29922,28677
40,18000,100000,48200,790788
20,0,20000,78241,446726
60,0,20000,97247,84746
23,100,100000,33081,680451
35,100,80000,24469,175440
40,0,50000,34672,61565
24,100,5000,94434,145912
55,18000,5000,12128,157515
23,0,5000,94756,777209
55,20000,100000,30624,791500
23,200,5000,86373,397496
23,0,50000,90680,887389
33,200,1000,5053,457551
20,35,20000,83692,946117
44,100,1000,66754,373824
21,30,1000,50486,519664
20,100,80000,31438,971128
23,100,100000,3220,91148
25,200,80000,9698,804199
30,18000,80000,81682,635411
40,35,100000,33746,419979
60,0,20000,1430,660111
24,0,20000,43362,878499
24,90,80000,11505,270017
35,0,5000,22273,525626
55,18000,5000,98655,329510
25,100,1000,4545,607275
70,200,5000,25816,81203
23,18000,100000,64399,854260
22,10000,100000,75221,494626
70,0,80000,83683,660932
44,0,20000,7511,372936
20,0,5000,33433,399539
21,0,1000,4402,720105
44,20000,100000,66833,605029
44,200,50000,60281,711943
60,0,20000,92615,172291
70,90,5000,24030,516049
23,20000,1000,31370,868265
24,0,100000,98167,883980
22,0,20000,79828,37327
60,200,1000000,82943,680784
60,0,50000,85419,485732
60,10000,20000,47493,26422
60,10000,100000,39522,498261
21,0,1000,90369,879612
30,75,100000,58630,750138
20,75,1000,55490,544847
24,200,50000,18560,893233
33,200,100000,75763,976047
55,20000,50000,29403,38289
25,35,20000,46666,65543
24,75,80000,43968,128664
30,0,1000,20158,472185
25,200,100000,41040,123387
25,20000,80000,81213,429710
21,0,50000,4945,48257
35,0,100000,50033,351771
55,0,20000,95748,696934
35,200,1000000,11187,367868
21,0,80000,91085,617236
70,0,5000,16347,895662
23,0,5000,29973,90809
21,18000,50000,45660,141378
22,0,80000,94898,79755
24,100,100000,13210,447555
24,10000,20000,38959,642644
44,0,5000,24947,401312
23,30,80000,89943,374884
25,0,50000,49127,386738
20,18000,80000,10921,554636
70,30,80000,75556,700695
44,20000,80000,88915,678427
20,30,50000,39854,626564
25,30,20000,81398,241547
35,18000,50000,75026,127927
60,0,20000,34062,445424
24,0,1000,19750,945204
30,100,80000,34802,213976
20,0,80000,36610,89685
60,10000,100000,21773,746687
55,20000,1000000,26225,862462
24,0,100000,76705,852265
23,100,1000,56105,753780
24,200,50000,37529,349141
24,75,100000,25000,713418
44,200,50000,15157,591668
70,30,50000,98226,182150
30,75,100000,12794,733579
55,0,100000,28827,850822
55,20000,20000,97472,619968
24,10000,50000,48205,261522
20,90,5000,58702,774427
35,0,80000,43526,337812
30,10000,1000,96980,787203
40,0,50000,71319,186049
23,18000,80000,85868,427874
33,20000,20000,96350,824979
70,0,50000,15255,289740
20,0,50000,12575,290487
70,10000,80000,7948,959440
23,0,5000,44505,607666
35,20000,80000,60243,296143
24,35,5000,20997,98023
23,0,5000,25949,585984
25,0,50000,27539,165725
44,100,1000,95144,168107
55,0,50000,71381,537856
60,100,100000,4792,511312
23,0,1000000,26532,5182
55,35,50000,99865,255167
44,20000,5000,33340,40571
22,0,50000,11467,700103
25,0,100000,8160,647413
55,10000,5000,68555,673873
30,200,20000,55175,30166
24,0,1000,45040,634855
20,200,1000000,56943,144022
40,0,50000,28594,212795
55,0,1000000,39120,376122
30,10000,80000,72715,467787
23,0,1000000,64408,999314
20,75,100000,27723,137616
55,0,1000000,2339,641986
20,90,80000,99491,850820
23,0,100000,88653,939246
33,0,50000,46800,616746
22,200,80000,80761,390705
21,0,5000,16371,913980
40,0,5000,53796,494601
30,0,100000,66613,223747
23,18000,5000,78340,64477
40,0,80000,13861,293915
55,75,20000,36082,559755
55,90,1000000,6587,580461
30,10000,50000,37870,550917
55,75,100000,5036,867702
40,0,1000000,13892,750765
20,0,1000000,46771,831617
24,0,100000,9925,438715
24,200,50000,35544,999426
70,0,5000,92279,893033
70,100,5000,26029,479989
30,90,1000,71279,595636
24,35,5000,16962,729130
40,0,5000,57277,666943
40,0,50000,30888,161675
21,0,5000,18393,712648
25,0,80000,49581,680648
55,90,1000000,79729,37487
35,90,100000,97800,306456
30,0,100000,4834,327949
22,0,100000,25701,861373
23,0,20000,74833,298107
40,0,80000,7830,337971
30,90,5000,72673,324926
22,0,100000,81944,187143
21,0,100000,45616,155690
35,0,100000,87076,920816
20,0,5000,26491,103676
44,30,20000,59545,819265
25,0,1000000,59044,47564
24,0,100000,85263,833219
25,0,5000,42530,61254
25,0,1000000,81319,507324
23,0,20000,83203,969804
55,30,1000000,38442,669196
35,200,1000000,62494,118026
44,0,50000,56910,277947
35,100,1000000,69610,6886
24,0,20000,37082,689898
33,20000,80000,16410,980733
30,10000,80000,54546,254069
20,10000,1000000,7100,632586
30,35,20000,49854,488941
60,200,1000000,11357,465401
44,0,1000,12933,189559
55,0,1000000,35304,139510
55,100,20000,85133,276814
20,18000,20000,18391,138781
55,100,1000,28776,42054
60,20000,1000,19099,485115
21,0,1000000,54822,965973
55,200,50000,1770,99257
55,0,1000,25735,598982
23,20000,1000,17661,654642
21,0,80000,87476,42993
25,20000,20000,63234,644931
35,100,80000,64460,736525
40,0,1000000,37487,486333
20,100,1000,46103,303358
35,75,1000000,62733,583548
55,18000,80000,16423,949972
35,0,5000,67928,11075
55,10000,20000,12294,272902
70,30,100000,83868,394411
23,0,5000,67051,965669
70,0,100000,56111,227235
55,75,1000000,79363,246124
23,18000,5000,15980,251489
70,0,50000,76399,317846
23,0,80000,28834,773239
21,20000,5000,19833,67961
30,100,100000,96282,855458
25,0,100000,64903,166690
22,30,80000,81169,268183
21,20000,1000,56429,304115
60,90,50000,21579,460666
33,0,1000,68232,304048
21,20000,20000,29807,972389
24,0,50000,89314,458366
44,20000,1000000,45518,990055
55,0,1000000,25546,112895
30,35,50000,37911,115299
21,75,1000,78610,97875
23,10000,80000,66145,983629
30,100,100000,38740,995468
20,0,50000,49797,496827
20,0,5000,72301,972989
55,20000,1000,95231,211352
30,30,1000000,91904,307801
70,0,1000000,11124,616314
44,35,80000,89460,494922
35,35,1000000,78018,45628
40,90,20000,63550,36129
23,0,1000000,83457,477713
60,30,5000,48160,313131
44,0,80000,3152,991391
22,200,1000,5087,723221
20,20000,80000,8396,882963
40,18000,20000,12377,122610
60,0,5000,7957,58189
30,10000,50000,34235,800985
20,0,50000,33366,403408
25,90,5000,69774,774961
70,0,50000,14553,926566
35,0,80000,13643,87029
30,0,1000000,95629,301211
60,0,1000000,18370,895145
60,35,80000,53814,467303
24,0,1000000,10682,689123
25,75,5000,69380,418913
20,0,100000,52776,853710
30,0,80000,20231,382940
40,0,20000,45600,268612
44,30,1000,65871,747447
25,0,20000,92805,716207
44,75,1000,27010,221908
33,18000,1000000,78857,590413
25,200,5000,51412,673745
30,90,1000,33400,792200
60,35,5000,31963,333600
24,0,50000,97831,555607
40,0,80000,72521,222540
70,10000,5000,14491,747139
40,75,100000,8726,12624
40,90,80000,17046,166820
23,10000,1000000,67283,154831
22,0,20000,87185,762106
55,0,1000000,80174,839233
25,0,5000,3766,136133
30,90,20000,34570,397837
55,200,50000,71221,390527
25,100,1000000,31241,678748
30,35,100000,95821,100001
23,0,80000,50493,331263
21,0,80000,12366,371902
40,100,1000,69132,623510
25,0,1000000,86099,882363
40,0,80000,48882,943891
44,10000,80000,35082,259117
21,0,1000000,95704,6681
23,90,1000,56544,520574
40,0,100000,32445,731762
23,20000,50000,99941,360089
35,75,80000,41255,287610
35,10000,80000,89640,409885
55,20000,100000,35853,589100
60,90,100000,82604,8737
30,0,80000,5845,776857
40,0,1000000,63860,37379
21,0,1000000,21367,876443
35,18000,100000,31196,98038
40,0,5000,11918,756074
40,20000,80000,98008,514466
40,35,50000,90155,406267
23,0,80000,67232,285975
30,200,50000,43224,904777
30,20000,80000,42383,743455
25,35,1000,36033,397630
33,18000,100000,87348,193832
35,0,1000000,97370,201269
30,10000,5000,17254,80883
21,200,100000,17550,151642
24,35,100000,15121,962734
21,30,5000,44280,915751
70,0,1000000,81584,834192
21,0,1000000,97690,630668
25,0,80000,64382,655540
55,18000,100000,21333,68956
22,0,80000,23149,220824
20,90,100000,30078,759813
40,35,20000,96651,273145
21,0,1000000,6156,493286
35,0,50000,52217,979652
40,20000,50000,71525,740666
24,0,1000000,41833,96259
21,0,100000,73553,8605
60,0,100000,27704,453432
24,0,1000000,1102,720426
35,90,1000000,39141,280201
60,30,5000,63785,400929
40,0,80000,30005,652674
33,35,20000,29084,174478
33,100,100000,36338,694901
60,100,20000,12449,961365
60,35,1000000,96217,337890
22,90,100000,30762,275065
24,200,100000,38760,128025
23,200,100000,92179,380865
70,0,80000,11863,558020
30,75,20000,25758,984951
21,75,20000,60791,918435
24,18000,80000,64714,400843
22,0,80000,54922,247525
30,35,100000,54333,56885
24,200,1000,3065,610856
23,200,5000,24479,712194
44,0,80000,68714,531570
22,0,1000,67248,514096
21,0,50000,79596,436967
30,75,1000000,97239,251995
60,0,50000,11698,338111
25,10000,5000,19333,261910
24,20000,80000,60319,102100
30,100,80000,70622,171776
33,90,20000,71290,912885
35,0,1000,36233,729769
60,100,50000,38851,792934
23,100,20000,22795,70411
30,18000,100000,23603,567554
35,0,5000,3447,36877
22,0,50000,60201,365563
20,75,1000,96011,7843
23,18000,100000,45833,909345
40,0,100000,50807,194102
24,0,5000,68354,991265
60,20000,80000,45735,583448
20,0,20000,98755,58610
22,0,80000,55963,842130
35,0,20000,13254,992741
22,0,1000000,48308,946573
35,10000,100000,20142,113693
70,90,5000,46705,164027
33,200,5000,96535,460678
25,0,20000,8126,361766
40,10000,50000,92520,313292
25,75,1000000,94909,556258
55,0,100000,5160,758985
55,20000,80000,98055,490439
24,18000,80000,68775,397317
35,30,1000000,93397,690040
30,0,50000,47980,682802
35,0,1000000,43204,659114
35,20000,80000,60356,223768
22,200,20000,94367,146055
70,20000,50000,47364,47322
35,0,50000,3494,267444
21,0,1000000,80599,373618
44,200,50000,54438,545134
21,0,5000,83051,360712
23,75,20000,92582,784624
20,30,1000000,65735,877177
23,200,1000,85275,665691
22,10000,1000,33650,411324
25,20000,20000,4564,462022
70,30,80000,5887,236363
20,0,20000,63909,3060
33,0,1000,46399,90804
20,18000,1000,93485,722955
30,0,50000,38985,646264
33,20000,20000,18989,827332
20,10000,1000000,11958,131452
20,200,50000,19026,102541
22,0,20000,15530,690221
24,200,80000,60978,900258
60,0,50000,77980,407208
33,90,80000,44483,249469
60,35,20000,30949,925829
24,0,1000,31874,257754
44,0,20000,36233,281245
30,30,5000,67843,64450
21,0,100000,84133,538058
22,10000,20000,75277,704310
24,0,1000,50935,492662
35,0,80000,39048,709162
21,75,80000,3363,415214
55,100,5000,26358,32389
33,90,1000,57662,982070
23,100,1000000,74987,243481
70,0,1000,62717,825283
21,35,1000,38717,601668
24,0,100000,64571,690610
40,0,1000000,18133,436483
25,10000,50000,61339,142764
60,100,50000,17571,635497
20,10000,1000000,78155,486334
33,0,1000000,23747,944113
44,75,1000,27018,975280
40,0,50000,97925,626838
70,0,20000,10305,700006
22,0,100000,94598,58705
30,200,50000,53841,807797
70,10000,5000,74647,650974
33,200,5000,26226,112599
30,30,50000,76928,832105
70,0,100000,93133,581098
60,20000,100000,31136,595481
55,0,5000,79225,66714
20,200,1000,91691,531630
44,18000,50000,49690,906301
21,0,80000,52853,245938
25,100,20000,76139,398376
24,0,50000,86773,141279
21,0,20000,26734,847539
55,0,100000,74648,260563
24,100,1000000,36028,183716
20,0,80000,22099,473270
40,20000,100000,27623,31788
70,100,5000,55193,342068
23,18000,1000000,86335,983770
35,30,20000,26991,104536
25,0,50000,59218,265906
23,0,1000,51301,619082
22,0,80000,29171,286422
55,0,5000,39839,740451
44,90,20000,19244,525783
55,30,1000,73663,858132
24,0,20000,1059,907518
44,0,80000,95813,259093
40,100,1000,26600,736190
23,0,50000,42204,842775
20,200,100000,18496,236496
60,0,50000,58962,334448
40,0,50000,8850,450548
33,0,5000,71510,614230
25,10000,50000,18653,582978
35,0,5000,64253,167442
21,0,50000,63431,254215
33,200,100000,96797,548914
44,75,100000,58213,49391
21,200,1000000,48662,285201
44,0,80000,66506,143618
35,30,20000,96285,509271
35,200,100000,35760,231163
55,0,5000,89209,824321
24,0,1000,4373,869945
20,0,80000,79964,553537
60,10000,1000000,89992,16690
33,0,1000000,65020,442266
21,0,80000,32626,208946
24,18000,80000,60980,386149
23,200,50000,33364,647826
40,20000,1000000,47650,89664
60,0,100000,68261,319293
22,0,80000,20996,257268
22,90,50000,22693,817694
25,18000,1000000,81086,599601
60,0,1000000,35031,654443
22,35,5000,30087,515087
21,200,1000000,10096,95883
23,0,5000,32865,587858
20,20000,20000,50226,151398
21,35,5000,46148,169225
24,0,1000,1251,361167
22,20000,50000,42286,114849
33,10000,100000,84541,554148
25,75,1000,94206,261107
22,0,1000000,39085,447568
33,0,100000,68108,262693
60,0,5000,20874,132631
25,90,5000,36170,646132
55,0,20000,74488,456591
24,0,1000,60684,969566
55,0,1000,2054,385224
33,75,1000,1307,198032
40,18000,20000,32651,292492
24,0,100000,23122,385801
44,90,100000,96054,482136
21,200,5000,46169,124531
23,20000,20000,66811,241084
55,0,1000,99521,710054
22,0,1000000,94220,638613
22,0,1000,31656,998451
25,0,100000,29214,115031
70,90,1000,38399,543119
30,200,1000000,99781,941346
21,75,1000,18275,287050
30,100,100000,64740,645229
22,20000,20000,55871,764681
44,200,1000,73484,603041
33,10000,1000000,5442,608965
20,75,1000,43122,492402
33,0,50000,10669,821875
70,200,50000,36254,827415
35,0,5000,68215,625638
23,18000,20000,19537,279841
70,18000,1000,50988,963753
23,90,20000,97415,489883
30,0,80000,10454,861352
22,35,1000,45419,889650
33,0,50000,1607,447592
25,90,50000,6842,739343
40,20000,80000,28736,86725
55,0,100000,74539,486108
60,200,5000,10693,950429
44,0,80000,15505,522793
25,0,1000000,55571,52508
60,0,1000000,6845,586972
21,10000,100000,59762,177314
23,18000,5000,59376,567249
35,100,1000,22212,54518
24,0,80000,30144,701408
44,35,50000,39574,383725
35,0,1000000,16750,86172
33,35,80000,40696,391202
44,35,80000,48528,593942
40,75,5000,92311,830378
25,18000,50000,99159,699529
22,75,100000,7575,622514
35,0,1000000,57068,802075
40,100,20000,38477,861703
33,75,5000,14944,808030
33,35,5000,33941,311862
40,0,100000,81811,852726
21,10000,1000000,73521,822965
24,90,5000,83791,494171
25,30,1000,88374,300405
40,30,50000,12893,410949
60,0,1000000,33153,997249
33,20000,100000,69733,924704
60,0,1000,5764,735615
60,0,80000,21743,516912
44,0,50000,61929,99823
24,0,100000,8091,556941
35,0,1000,70137,35623
70,10000,100000,87372,334558
35,0,5000,2522,532601
70,18000,20000,38201,471652
35,100,5000,18362,748430
30,75,80000,54288,321977
35,90,1000,54920,651784
21,35,20000,52334,791062
21,0,1000,30886,918580
70,0,80000,48383,65120
25,0,20000,84359,977623
30,20000,80000,85107,37420
35,100,80000,96975,237402
40,20000,1000000,30801,60286
21,18000,1000,94799,678770
70,90,80000,82959,111702
23,0,1000000,78431,260900
25,18000,1000000,25729,733216
30,20000,5000,76911,234535
21,0,1000,66745,387775
33,30,50000,87769,589038
70,90,20000,98812,982928
70,0,100000,81998,507684
33,18000,1000,49633,466770
20,35,5000,65001,486620
60,0,100000,2400,514347
40,0,1000000,28534,952576
70,0,50000,30125,215862
30,75,50000,77764,37219
44,0,5000,43945,906782
25,18000,1000000,73750,884267
21,10000,5000,78810,302931
60,100,50000,7447,381945
22,10000,100000,45162,911494
24,10000,100000,31913,348889
35,35,100000,59878,613886
25,0,100000,48589,359156
44,0,5000,1634,226106
55,30,80000,67486,962893
70,0,20000,14769,517200
40,200,80000,60220,872914
33,75,50000,91960,996844
22,20000,20000,34688,904424
24,0,1000,54167,343990
70,90,1000,8089,517708
70,0,1000,62037,408215
33,75,100000,9532,170659
30,10000,1000000,96130,3500
33,10000,1000000,99004,860013
30,100,20000,62080,685838
44,75,1000000,96020,747821
40,200,20000,45666,688466
40,18000,5000,14997,135556
21,0,50000,39069,927687
22,20000,5000,97179,806919
35,0,50000,27884,662089
30,0,50000,38865,149487
25,200,5000,75446,69089
21,0,50000,67357,442491
23,100,50000,68180,704621
60,0,1000,82030,365643
60,90,5000,20813,946519
30,18000,80000,93036,505015
24,0,1000,44671,60987
20,100,1000000,91769,569756
40,0,50000,14362,215259
33,10000,1000000,19715,740996
60,0,5000,79138,419818
21,18000,5000,17574,394365
20,0,5000,83050,625384
23,0,5000,56972,917786
22,75,50000,27164,90828
44,90,1000000,12975,307716
30,18000,100000,38478,715607
20,100,100000,95038,124546
55,30,1000,27318,68692
24,200,80000,53761,34433
24,0,80000,31630,986114
40,100,5000,53271,624170
33,0,20000,68521,421460
60,0,1000000,40125,271859
44,10000,80000,43614,576688
70,35,1000,20241,8655
25,10000,1000,56980,51625
55,18000,1000,8577,957975
70,30,80000,63707,718249
22,0,1000,54547,369496
